PREFIXO: ;D4-104
NOME DO POSTO: ;PIRACICABA
MUNICÍPIO: ;PIRACICABA
CURSO D'ÁGUA: ;PIRACICABA,R
LATITUDE: ;22°43'03"
LONGITUDE: ;47°39'07"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  04/1977; 13,3;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0; 51,3; 17,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 24,0;  1,3; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;51,3;128,9
  05/1977;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,2;0,2
  06/1977;  0,0;  2,7;  0,0;  0,0; 28,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,3;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;28,0;32,5
  07/1977;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  1,4;  0,0;  1,5;  0,0;  0,0;  0,0;0,0;0,0;0,0;1,5;3,4
  08/1977;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;27,0;21,0;27,0;48,0
  09/1977;  0,0;  1,7;  0,0;  0,0;  0,0;  0,0;  9,7; 33,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,4;  0,0; 11,4;  0,0;  2,6; 31,6;  8,3;  0,0;  0,0;  0,0;0,0;0,0;---;33,2;114,9
  10/1977;  0,0; 77,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,6;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,4;  0,5;  4,3;0,0;0,0;0,0;77,2;99,3
  11/1977;  3,4;  0,0;  0,0;  0,0;  0,0;  4,3;  0,0;  0,0;  0,0;  0,0;  0,0; 12,4;  5,7;  0,0;  4,9;  5,0;  0,0;  0,0;  4,8;  0,0;  0,0;  0,0; 11,0;  6,1;  0,0;  0,0;  0,0;  6,1;14,8;0,0;---;14,8;78,5
  12/1977; 34,4; 45,8; 19,1; 16,5; 12,5;  1,6;  0,0;  2,2;  0,0;  0,0; 18,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 32,4; 24,1; 13,4; 23,6; 17,3;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;45,8;261,5
  01/1978;  0,0;  0,0;  0,7;  0,0;  0,5;  1,1;  0,0;  0,0;  1,2;  0,0;  9,4;  0,0;  6,1;  0,0;  0,0;  6,4;  4,2;  0,0;  0,0;  0,0;  0,0;  2,8;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;0,0;0,0;10,4;10,4;46,3
  02/1978;  0,0;  0,0;  0,0;  0,0;  0,7;  0,0; 54,0;  0,0;  0,0;  0,0;  0,0; 14,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 34,3;  0,0;  5,6;  0,0;  0,0;  0,0;  0,0;  0,0; 17,7;---;---;---;54,0;126,5
  03/1978;  0,0;  0,0;  1,8;  6,8;  8,3;  0,0;  2,5; 12,0; 28,8; 24,9;  1,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;1,0;18,6;0,0;28,8;106,5
  04/1978;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  05/1978;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5; 41,8; 10,0;  1,8;  0,0; 14,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,6;0,0;41,8;70,4
  06/1978;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 36,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;36,5;36,5
  07/1978;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0; 31,3;  0,0;  0,0; 10,2;  2,5; 15,1;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;31,3;64,1
  08/1978;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  09/1978;  3,0;  9,7;  0,0;  0,0; 13,0; 27,2;  0,0;  5,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,8;  0,0;  7,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;27,2;67,5
  10/1978;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,5;  0,0;  0,0; 11,1;  1,1;  0,0;  0,7;  0,5; 64,1;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,7;8,2;34,3;0,0;64,1;134,4
  11/1978;  8,5;  0,0;  0,0; 11,8;  2,9; 22,9;  0,0;  0,0;  0,0; 20,3; 39,3;  9,8;  0,0;  0,0;  0,0;  0,0; 31,9;  0,5;  1,4;  6,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5; 25,0;0,0;0,0;---;39,3;181,7
  12/1978;  0,0;  0,0;  0,5;  0,0;  0,0;  0,5; 24,9; 48,6; 10,0;  6,6;  0,0;  0,0;  0,0;  0,0; 29,9;  2,5; 12,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;140,0;  2,6;7,6;9,4;0,0;140,0;295,5
  01/1979;  0,0; 35,0;  7,6;  7,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,7;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,6;  0,0;  0,0;  0,0;  0,5;  0,7;  0,0;  0,0;55,9;7,8;0,0;55,9;129,9
  02/1979;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,4;  0,2;  2,8; 33,7; 19,6; 18,4;  0,0;  0,0;  0,2;  5,1;  1,4;  0,0;  1,8;  2,7;  0,0;  0,0;  0,0;  0,7;  0,0;---;---;---;33,7;97,0
  03/1979;  0,0; 23,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 14,7;  3,4;  0,8;  0,6;  7,7;  0,0;  0,0;  0,0;  0,0;  0,0;  1,8;  0,0;  0,0;  0,0;  0,0; 21,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;23,3;73,3
  04/1979;  0,0;  0,0;  0,0; 14,7; 36,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;3,3;27,3;---;36,3;90,8
  05/1979;  0,0;  0,0;  0,4; 45,0; 17,0;  0,0;  1,0;  0,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;11,3;0,0;45,0;76,1
  06/1979;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  07/1979;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,9;  3,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  0,0;  0,0;0,0;0,0;0,0;12,0;25,3
  08/1979;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,9;  0,0; 25,1;  0,0;  0,0; 25,0; 15,0;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,2;  0,0;0,0;0,0;0,0;25,1;86,7
  09/1979;  0,0;  0,0;  0,2;  0,0;  9,2;  0,0;  0,0;  0,0;  0,0;  0,0;  6,0; 17,5;  0,0; 15,9;  0,6; 10,3;  1,9; 15,9;  0,0;  0,0;  0,0;  0,0; 16,7;  0,2;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;17,5;94,4
  10/1979; 12,5;  0,9;  0,0;  0,0; 19,9;  0,0; 26,5;  8,9; 13,9;  0,0;  0,0;  0,0;  0,0;  7,8;  5,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,2;  0,0;1,4;0,7;3,1;26,5;110,1
  11/1979;  0,0;  0,8;  7,5;  0,6;  0,0;  0,0;  0,0;  0,0; 10,0; 21,9; 24,1;  0,0;  0,0;  0,0; 12,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,8;  0,0; 21,3;  7,7;  0,0;  0,0;0,0;0,0;---;24,1;112,2
  12/1979;  0,0;  2,1;  0,0;  2,3; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,3;  2,5;  2,1;  2,9;  9,0; 30,3; 10,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,1;  3,7;  3,8;  1,9;  0,0;0,0;0,0;13,8;30,3;108,7
  01/1980; 15,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3;  3,1; 10,6; 24,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,7;  0,4; 36,1;  7,8;  0,3;  2,5; 23,8; 23,8;  3,8;  0,0;0,0;0,0;0,0;36,1;173,2
  02/1980;  4,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,8;  0,2;  4,6;  0,0; 18,9;  1,2;  0,0; 29,2;  0,0; 96,1;  0,0;  0,9;  0,0;  0,0; 11,1;  1,9; 15,1;  6,7;  4,1;  2,4;11,3;---;---;96,1;210,6
